elevation,aspect,slope,hdist2water,vdist2water,hdist2road,shade_9am,shade_noon,shade_3pm,hdist2fire,w1,w2,w3,s1,s2,cov_type
3267,85,25,210,-43,2352,246,189,57,4235,0,1,0,1,0,1
2625,61,11,30,5,3515,229,217,120,2799,0,0,1,0,0,1
3193,340,9,218,14,190,201,227,165,1355,0,1,0,0,0,1
3093,211,17,228,20,1753,204,254,181,644,1,0,0,0,0,1
3242,202,10,400,62,2928,216,249,168,849,0,0,1,1,0,1
2951,322,18,408,83,3177,170,218,187,1846,0,0,1,1,0,1
3175,110,17,175,28,1891,246,220,97,1972,0,0,1,1,0,1
2955,332,8,582,36,4845,201,230,168,5303,1,0,0,1,0,1
2957,204,9,175,16,4878,215,248,168,2143,1,0,0,1,0,1
3057,52,8,170,36,3894,225,223,132,2700,1,0,0,1,0,1
2581,108,5,300,11,2824,229,234,138,2724,0,0,1,0,1,1
2937,300,27,162,64,2542,133,217,218,721,0,0,1,0,0,1
3097,12,25,421,71,902,186,180,122,1376,0,0,1,1,0,1
3192,141,25,570,38,1107,247,224,89,2321,1,0,0,1,0,1
3259,273,18,170,29,4312,171,242,210,1565,0,0,1,1,0,1
3176,102,15,67,14,1518,244,219,99,2486,1,0,0,0,0,1
3247,340,7,808,72,4068,205,230,163,2605,1,0,0,0,0,1
3210,63,6,67,6,2737,226,227,135,819,1,0,0,0,0,1
3215,301,13,42,2,4261,182,234,192,1413,0,0,1,0,0,1
3195,307,14,811,168,4311,180,231,190,2161,1,0,0,1,0,1
2975,127,9,127,13,3181,236,234,129,6606,1,0,0,1,0,1
3314,13,5,470,86,3848,215,229,151,1471,1,0,0,1,0,1
3097,306,4,95,0,2115,208,237,168,2395,0,0,1,1,0,1
3216,70,10,42,-2,513,231,221,123,2102,1,0,0,0,0,1
3285,277,13,768,170,3734,183,242,198,2173,0,0,1,1,0,1
2909,15,16,175,45,2282,204,206,136,2122,0,0,1,1,0,1
3043,336,11,450,46,2687,194,225,169,1032,0,0,1,1,0,1
3333,31,14,175,33,2139,216,209,126,1744,0,0,1,1,0,1
3325,300,16,693,174,3120,173,232,198,785,0,0,1,1,0,1
3405,52,10,509,126,2053,226,218,125,1624,1,0,0,1,0,1
3019,33,10,30,7,3427,218,219,136,745,0,0,1,0,0,1
3467,236,25,474,212,3266,167,252,213,721,1,0,0,1,0,1
3168,268,11,319,73,4235,191,245,193,1092,1,0,0,1,0,1
3223,347,20,376,57,693,178,203,161,1890,0,1,0,1,0,1
2908,13,26,481,36,3412,185,176,119,2462,0,0,1,1,0,1
3626,51,28,1082,392,2512,221,168,63,1337,1,0,0,1,0,1
3218,73,11,510,76,2860,233,218,115,4404,1,0,0,1,0,1
3199,90,13,319,21,5541,240,219,107,2666,1,0,0,1,0,1
3204,321,17,108,7,4207,173,220,186,426,0,0,1,1,0,1
3177,72,10,663,102,1575,232,220,119,2564,0,0,1,1,0,1
3084,326,14,192,48,541,186,224,178,918,0,1,0,0,0,1
3098,66,9,342,-76,1503,229,223,127,1259,1,0,0,1,0,1
3211,156,9,402,39,4413,231,241,142,2699,1,0,0,1,0,1
3217,123,18,256,36,4200,248,223,96,994,0,0,1,1,0,1
3332,195,18,255,49,2333,214,252,166,3606,0,1,0,1,0,1
3057,234,6,190,39,1632,209,246,174,1406,0,0,1,0,0,1
2882,252,32,319,147,2640,132,241,235,459,0,0,1,1,0,1
3182,131,5,301,6,4868,228,237,144,2315,1,0,0,1,0,1
3216,185,24,212,71,2576,217,248,152,1106,0,0,1,1,0,1
3263,101,20,212,49,2620,249,209,80,2714,1,0,0,1,0,1
2881,224,16,95,22,4118,197,254,190,3630,1,0,0,1,0,1
3069,192,10,361,-59,1920,219,248,162,3852,1,0,0,0,0,1
3330,73,31,85,31,3908,238,164,33,1639,1,0,0,1,0,1
3101,306,19,551,281,1290,163,225,201,1084,0,0,1,1,0,1
3240,289,16,124,3,4376,174,237,202,600,0,0,1,1,0,1
2922,1,9,90,14,2350,207,223,153,362,0,0,1,0,0,1
3284,325,15,845,66,3479,182,223,180,1146,0,0,1,0,0,1
3060,234,7,30,-2,1641,209,246,175,2034,0,0,1,0,0,1
2943,35,10,90,16,4650,219,218,134,4095,1,0,0,1,0,1
2815,122,14,0,0,1387,242,229,113,2613,0,0,1,1,0,1
3160,93,4,488,53,5588,226,233,142,598,1,0,0,1,0,1
3220,250,5,95,-3,5941,209,243,172,1381,1,0,0,0,0,1
3298,358,7,418,71,3210,209,227,156,2118,1,0,0,1,0,1
3148,198,9,42,4,1922,217,248,165,1936,0,0,1,0,0,1
3119,30,21,295,26,3160,208,189,109,3196,1,0,0,1,0,1
3354,18,9,564,115,3155,213,221,144,2552,0,0,1,1,0,1
3082,337,17,283,80,503,181,215,171,1890,0,0,1,0,0,1
2983,64,26,124,60,2583,233,179,62,2197,0,0,1,1,0,1
3174,133,22,120,31,4226,249,224,92,2110,1,0,0,0,0,1
2854,304,20,120,28,1179,161,226,203,1384,0,0,1,1,0,1
3082,331,21,295,71,726,168,210,179,1684,0,0,1,0,0,1
3072,56,17,218,-15,1667,229,203,101,3144,1,0,0,1,0,1
3121,187,15,420,44,953,220,250,158,2201,1,0,0,1,0,1
3080,29,12,95,26,2977,216,213,132,5853,1,0,0,1,0,1
3073,308,12,426,37,2336,188,232,185,1150,1,0,0,1,0,1
3157,47,9,404,43,2912,224,220,130,2743,0,0,1,1,0,1
2978,47,11,30,13,5305,224,216,125,2324,1,0,0,0,0,1
3187,39,20,379,111,1347,217,192,103,150,1,0,0,0,0,1
3304,334,6,671,120,679,206,232,164,1177,0,1,0,0,0,1
3027,27,2,30,0,2451,218,234,153,3069,1,0,0,0,0,1
3080,178,14,175,11,2051,225,247,151,30,0,0,1,1,0,1
3123,5,11,579,106,1554,206,219,150,2462,0,0,1,1,0,1
3137,45,9,351,41,5660,223,220,131,949,1,0,0,0,0,1
3192,126,17,379,101,5258,246,226,102,1523,1,0,0,1,0,1
3352,270,11,270,36,3690,190,244,193,2002,0,0,1,1,0,1
2944,60,13,60,-7,872,230,212,113,1387,0,0,1,1,0,1
3336,340,16,153,10,3649,185,216,168,1411,1,0,0,1,0,1
3020,27,23,60,23,666,203,183,107,2448,1,0,0,1,0,1
3271,90,5,170,8,6154,227,232,139,258,1,0,0,0,0,1
3015,283,5,0,0,2992,206,240,173,671,1,0,0,0,0,1
3065,319,9,180,14,2880,196,232,175,603,0,0,1,0,0,1
2992,151,16,564,99,190,239,238,124,636,0,0,1,1,0,1
3247,225,4,797,72,4222,214,243,166,2477,1,0,0,1,0,1
3246,188,14,108,12,1020,221,250,159,1101,1,0,0,0,0,1
3143,34,17,30,-4,3107,215,200,116,3836,1,0,0,0,0,1
3323,72,15,255,51,984,236,210,102,633,0,1,0,1,0,1
3234,80,12,540,66,4066,236,219,113,1988,1,0,0,1,0,1
3149,176,12,0,0,3037,226,246,152,1024,0,0,1,1,0,1
3223,198,19,417,46,2536,211,253,169,1057,1,0,0,1,0,1
3066,303,20,228,57,633,159,225,205,1710,0,0,1,0,0,1
3202,217,12,323,58,1167,206,252,180,2047,1,0,0,1,0,1
2953,6,15,680,111,2707,201,211,146,1410,0,0,1,1,0,1
3109,72,18,60,-7,4823,237,202,89,2936,1,0,0,1,0,1
3148,34,5,190,25,2254,219,228,146,2172,1,0,0,1,0,1
3073,62,12,150,19,1809,230,215,115,3065,0,0,1,1,0,1
3058,94,18,192,17,3360,246,209,85,644,0,0,1,1,0,1
3027,42,22,870,264,1677,218,187,95,2160,0,0,1,1,0,1
3064,306,18,400,69,1590,166,226,199,3249,1,0,0,0,0,1
3261,337,4,242,16,5743,212,234,161,726,1,0,0,0,0,1
3170,326,11,258,-15,1224,194,228,174,741,0,1,0,1,0,1
3051,298,9,0,0,2761,194,237,183,789,0,0,1,0,0,1
3232,14,9,708,115,1121,212,222,147,2154,0,0,1,0,0,1
3015,325,11,120,23,3467,191,227,176,892,0,0,1,0,0,1
3050,64,7,120,5,658,227,226,133,1294,1,0,0,0,0,1
3298,55,15,451,64,3725,228,207,109,1590,1,0,0,1,0,1
2939,346,12,85,3,4722,196,220,163,2334,1,0,0,1,0,1
3397,183,16,351,51,2910,223,249,154,1784,0,0,1,1,0,1
3308,309,17,768,38,3394,172,227,194,1068,0,0,1,1,0,1
3149,35,19,366,44,1167,214,195,109,1273,0,0,1,0,0,1
3253,175,13,108,13,3425,227,246,149,1390,0,0,1,0,0,1
3280,102,13,309,108,3492,242,222,107,601,0,0,1,1,0,1
2767,259,11,42,1,1806,193,246,192,1604,0,0,1,0,1,1
3109,215,11,395,-39,6223,209,251,176,1342,1,0,0,1,0,1
3116,337,12,595,322,1154,195,224,168,1201,0,0,1,1,0,1
3237,129,15,134,34,2579,243,230,112,2761,1,0,0,1,0,1
3172,107,9,95,17,2791,236,229,124,5407,1,0,0,1,0,1
3093,81,10,95,16,2133,234,222,118,1736,1,0,0,1,0,1
3004,190,12,255,45,5623,220,249,161,2144,1,0,0,1,0,1
3118,344,7,323,27,1413,206,229,162,1233,0,1,0,1,0,1
3173,99,20,85,12,2516,249,207,78,2979,0,0,1,1,0,1
3356,307,5,192,17,1293,207,237,169,2089,0,0,1,1,0,1
2986,97,13,400,60,5209,241,220,106,1894,1,0,0,1,0,1
3240,172,7,685,61,4781,225,243,152,2652,1,0,0,0,0,1
3218,284,10,201,27,4348,193,240,187,540,0,0,1,1,0,1
3232,70,22,503,132,4881,237,190,73,3150,1,0,0,1,0,1
3114,348,13,85,10,3891,196,219,161,270,0,0,1,0,0,1
3033,57,23,212,22,4590,229,186,79,2674,1,0,0,1,0,1
3142,343,19,30,14,3957,178,207,166,3341,0,0,1,1,0,1
3311,170,4,0,0,4405,223,241,154,3845,0,0,1,0,0,1
3203,28,17,376,127,977,211,202,123,834,1,0,0,0,0,1
2721,13,18,90,4,1207,200,201,134,1837,0,0,1,0,0,1
3097,40,8,170,35,511,221,222,136,569,0,0,1,1,0,1
3252,266,8,616,68,706,201,243,182,841,0,1,0,0,0,1
3127,58,9,283,39,1900,227,221,128,1641,1,0,0,1,0,1
3352,33,13,481,118,1770,217,211,127,2076,1,0,0,1,0,1
3031,21,14,270,86,2989,210,210,134,1471,0,0,1,1,0,1
3164,13,17,30,7,698,202,203,135,2547,1,0,0,0,0,1
3291,16,13,180,44,3194,208,213,140,2242,1,0,0,1,0,1
2837,8,7,454,14,2694,212,227,152,3605,1,0,0,0,0,1
3017,248,16,458,55,5914,183,250,203,1766,1,0,0,1,0,1
3405,235,12,616,168,3421,200,250,187,450,0,0,1,1,0,1
3235,130,25,330,78,4020,251,216,77,2885,0,0,1,1,0,1
3189,1,11,30,5,1249,205,220,152,1041,0,1,0,1,0,1
2762,356,23,30,17,2088,175,191,148,999,0,0,1,1,0,1
3114,335,26,450,49,3545,154,196,176,1514,0,0,1,1,0,1
3101,280,5,85,1,895,205,240,174,1639,1,0,0,0,0,1
2712,14,14,60,0,1747,206,210,139,1383,1,0,0,1,0,1
3036,90,8,30,3,1450,232,228,129,2783,1,0,0,0,0,1
3162,45,4,42,-9,4830,221,230,145,1299,1,0,0,1,0,1
2984,57,14,509,158,342,229,209,110,591,0,0,1,1,0,1
3106,30,9,240,15,1595,218,220,138,2914,0,0,1,1,0,1
3083,104,10,67,0,3006,238,227,119,5627,1,0,0,1,0,1
2997,304,28,234,99,787,132,213,215,2638,1,0,0,1,0,1
3228,337,10,30,5,4335,199,227,167,2001,0,0,1,0,0,1
3180,128,21,85,13,2614,249,222,91,2914,0,0,1,1,0,1
2922,11,4,553,-9,4736,216,232,153,3133,1,0,0,0,0,1
2837,61,19,95,32,3450,232,197,90,2649,1,0,0,0,0,1
3220,176,14,309,46,3964,226,247,149,731,0,0,1,1,0,1
2942,47,24,418,155,2082,220,180,81,2161,0,0,1,1,0,1
3208,114,16,42,8,4563,245,223,102,3719,0,0,1,0,0,1
3048,26,19,90,5,2548,208,195,117,4155,1,0,0,1,0,1
3288,84,34,228,85,4753,245,162,18,228,1,0,0,0,0,1
3188,333,7,85,20,4282,205,232,166,3314,1,0,0,0,0,1
3038,347,11,283,-19,2783,198,222,162,1120,1,0,0,1,0,1
3074,285,5,390,4,2590,205,240,174,1980,0,0,1,1,0,1
3393,207,11,674,187,2045,213,250,172,1173,0,0,1,1,0,1
3051,7,8,0,0,2568,211,225,151,778,0,0,1,0,0,1
3361,272,7,830,104,953,202,242,179,2230,0,0,1,1,0,1
3183,96,31,426,131,1031,251,179,32,1846,1,0,0,1,0,1
3356,351,18,661,205,2652,186,207,158,371,0,0,1,1,0,1
3274,156,11,335,35,1399,233,241,138,2847,1,0,0,0,0,1
3163,288,21,150,48,95,157,233,214,511,0,1,0,0,0,1
3222,298,9,108,19,4634,194,237,183,480,1,0,0,1,0,1
2988,59,10,90,13,2907,228,219,124,6473,1,0,0,1,0,1
2949,143,9,30,-2,1549,233,238,136,3463,1,0,0,0,0,1
3204,108,2,351,21,5474,223,236,149,2264,1,0,0,0,0,1
3180,67,7,60,-6,2448,228,226,132,1410,0,0,1,0,0,1
3100,329,4,0,0,1338,210,235,163,1434,0,1,0,1,0,1
3358,9,19,182,65,2467,195,200,138,2601,1,0,0,1,0,1
3094,315,19,90,27,2099,166,221,194,3231,1,0,0,1,0,1
3260,304,9,576,78,690,196,236,179,541,0,0,1,1,0,1
3302,24,13,301,3,4308,213,211,133,1401,1,0,0,1,0,1
3039,90,28,277,62,510,249,184,46,1337,1,0,0,1,0,1
3175,66,19,242,50,4188,235,199,88,3725,1,0,0,0,0,1
2629,339,30,0,0,2400,143,182,170,6902,1,0,0,1,0,1
3157,142,15,228,27,2375,241,235,119,457,0,0,1,1,0,1
3219,85,10,418,58,1075,235,223,119,1945,0,1,0,0,0,1
3140,292,3,175,9,2577,212,238,165,1355,1,0,0,1,0,1
2905,0,9,175,28,2906,207,223,154,2244,0,0,1,1,0,1
3129,4,10,589,112,1595,207,220,151,2521,0,0,1,1,0,1
3217,287,5,418,42,641,206,240,172,779,0,1,0,0,0,1
3309,146,21,162,17,1358,243,232,107,2995,1,0,0,0,0,1
3022,303,13,30,7,1892,185,234,189,1523,0,0,1,0,0,1
3157,46,17,182,21,960,223,201,107,5053,0,1,0,0,0,1
3218,150,19,390,43,2107,240,236,118,1746,0,0,1,1,0,1
3265,331,15,660,-9,2335,184,221,176,721,0,0,1,1,0,1
3171,176,17,323,36,485,227,247,147,2678,0,1,0,0,0,1
3315,118,13,469,68,1358,241,228,115,2219,0,0,1,1,0,1
3017,91,16,67,-9,2730,243,212,93,2221,0,0,1,0,0,1
3301,352,8,371,83,3301,206,226,158,2024,1,0,0,1,0,1
3112,323,14,319,49,258,184,225,180,1699,0,1,0,0,0,1
3212,0,5,95,-8,4092,213,231,156,1254,1,0,0,0,0,1
3328,51,7,716,55,949,224,225,137,1054,0,1,0,0,0,1
2966,50,22,295,3,830,224,187,87,2041,0,0,1,1,0,1
3101,154,16,108,6,819,238,239,126,1950,1,0,0,1,0,1
3040,306,10,85,14,3377,192,235,183,300,1,0,0,0,0,1
3069,111,21,67,7,2502,251,211,78,1413,0,0,1,1,0,1
2691,66,6,170,14,1426,226,228,137,1434,1,0,0,1,0,1
2869,1,12,323,-14,1575,203,218,152,2943,0,0,1,0,1,1
3101,303,19,382,-13,2628,165,228,202,900,1,0,0,1,0,1
3268,343,11,201,39,1361,199,224,164,2001,0,1,0,0,0,1
3054,159,11,255,-15,5885,232,242,140,2682,1,0,0,1,0,1
3235,38,17,108,-7,2080,218,200,112,4544,0,1,0,0,0,1
3027,41,14,433,55,5402,221,208,119,6345,1,0,0,1,0,1
3106,13,10,30,0,3622,210,219,145,4119,1,0,0,1,0,1
3115,353,6,108,9,890,210,230,158,1678,1,0,0,0,0,1
2819,319,25,120,48,600,148,208,196,1033,0,0,1,0,0,1
3193,105,12,450,77,2304,240,225,113,2802,0,0,1,1,0,1
3312,278,7,474,31,3546,202,241,179,1434,1,0,0,1,0,1
3195,78,7,216,20,3474,229,228,132,4537,1,0,0,1,0,1
3034,112,11,228,-7,2926,239,228,118,258,1,0,0,0,0,1
2940,293,33,268,114,1273,112,212,231,1221,0,0,1,1,0,1
3375,61,13,150,-6,4142,230,212,112,1195,1,0,0,1,0,1
3157,49,23,258,63,2388,223,184,85,819,0,0,1,1,0,1
3120,326,5,509,-26,2803,207,234,166,511,0,0,1,0,0,1
2965,74,11,60,6,4572,233,219,116,2382,1,0,0,0,0,1
3248,63,20,153,57,2105,233,196,86,2395,1,0,0,1,0,1
3231,351,27,361,82,4452,162,184,153,1533,1,0,0,1,0,1
3222,333,30,382,166,3095,138,187,180,3078,0,0,1,1,0,1
3232,200,27,633,11,1608,198,251,172,3476,1,0,0,1,0,1
2954,348,19,182,42,3097,181,205,160,1452,0,0,1,1,0,1
3159,138,6,90,-2,3573,229,238,143,4727,1,0,0,1,0,1
3159,336,17,360,66,2930,180,214,173,3438,1,0,0,1,0,1
3138,50,16,108,6,1374,225,204,108,2489,0,0,1,0,0,1
3183,42,18,42,-4,3277,220,198,107,3854,1,0,0,0,0,1
3211,43,8,799,68,2591,222,223,136,3218,0,0,1,1,0,1
3243,318,11,60,15,4477,190,230,179,510,1,0,0,1,0,1
2915,112,24,573,102,552,253,206,67,769,0,0,1,1,0,1
3218,189,18,182,25,765,218,251,159,1158,1,0,0,0,0,1
3090,16,18,256,-17,1300,202,201,131,277,0,0,1,1,0,1
3264,52,13,192,45,2880,226,211,115,2448,1,0,0,1,0,1
3206,28,23,108,31,2100,203,182,105,1693,0,0,1,1,0,1
3293,58,6,240,7,5622,224,228,138,765,1,0,0,1,0,1
3186,122,13,190,60,3167,242,229,114,3613,1,0,0,0,0,1
3382,241,15,277,127,3369,190,251,198,503,1,0,0,1,0,1
3288,122,14,60,-7,1328,242,229,113,1360,1,0,0,1,0,1
2887,316,25,150,50,1565,146,210,199,1209,0,0,1,1,0,1
3168,49,17,162,38,335,225,202,105,1772,1,0,0,0,0,1
3232,228,7,618,-1,525,210,247,174,603,0,0,1,1,0,1
2814,65,4,551,26,849,223,231,143,1421,0,0,1,0,1,1
3012,119,7,120,-2,1634,233,234,133,1230,1,0,0,0,0,1
3397,41,5,537,118,1954,221,228,143,1740,1,0,0,1,0,1
2810,18,12,218,53,1928,211,215,139,3015,1,0,0,1,0,1
3153,3,15,872,363,1376,198,209,147,1031,0,0,1,1,0,1
3206,338,9,532,54,1124,201,228,166,2553,0,1,0,0,0,1
3018,86,17,309,48,2250,242,210,93,636,1,0,0,1,0,1
3325,144,25,552,186,3469,246,226,94,577,0,0,1,1,0,1
3078,113,16,0,0,1107,245,222,101,2259,1,0,0,1,0,1
3150,10,5,350,14,2683,214,229,152,1482,1,0,0,0,0,1
3405,170,17,420,176,3829,230,245,140,2856,0,0,1,1,0,1
3153,0,9,30,5,1414,207,223,154,696,0,0,1,1,0,1
3424,220,4,1110,218,1465,215,243,165,1695,0,0,1,1,0,1
3092,179,12,192,-21,765,225,247,153,1575,1,0,0,0,0,1
2992,355,17,295,-39,960,189,207,154,2058,0,0,1,1,0,1
3164,47,29,466,51,787,216,165,65,1682,1,0,0,1,0,1
3355,258,19,162,45,3820,173,248,211,930,1,0,0,1,0,1
3124,316,24,594,313,1233,149,212,199,1120,0,0,1,1,0,1
3276,28,10,679,121,2405,216,217,136,2308,0,0,1,1,0,1
3229,117,2,591,38,4844,223,237,150,2468,1,0,0,1,0,1
3296,224,13,242,37,3466,203,252,184,1733,0,0,1,1,0,1
3207,317,11,127,24,892,192,231,179,769,0,1,0,1,0,1
3218,80,26,457,129,1332,244,185,56,1353,1,0,0,1,0,1
3129,35,20,240,91,3531,213,191,106,1560,0,0,1,1,0,1
3058,224,13,297,56,3073,203,252,184,1020,0,0,1,1,0,1
3184,343,10,277,6,1167,200,225,163,700,0,1,0,1,0,1
3274,326,5,67,0,1816,206,234,166,1399,0,0,1,1,0,1
3147,44,25,242,110,2268,217,177,82,1082,0,0,1,1,0,1
3029,59,4,180,21,2365,223,231,143,962,1,0,0,1,0,1
3179,272,18,242,48,1731,169,242,211,2164,0,0,1,1,0,1
3116,270,7,365,59,1283,202,243,180,1326,0,0,1,0,0,1
3028,32,22,469,8,1026,209,186,104,1945,0,0,1,1,0,1
3184,278,5,153,11,1376,206,241,173,90,0,0,1,0,0,1
3223,345,10,85,11,983,200,224,163,2439,0,0,1,0,0,1
3279,334,19,433,128,2676,173,211,176,342,0,0,1,1,0,1
3162,45,13,108,20,3048,223,212,121,5162,1,0,0,1,0,1
2932,114,17,85,19,2259,247,220,95,553,0,0,1,1,0,1
3047,164,18,127,6,5277,234,242,132,1706,1,0,0,1,0,1
2928,297,16,361,38,1294,173,233,200,1786,1,0,0,1,0,1
3261,84,9,467,216,3750,233,225,125,2203,0,0,1,1,0,1
3286,91,18,170,25,1120,245,208,86,1159,0,0,1,1,0,1
3144,31,23,42,16,3824,206,183,103,1266,1,0,0,1,0,1
3020,9,12,108,12,1082,206,215,146,2620,0,0,1,0,0,1
2932,45,7,90,13,4858,222,224,137,2525,1,0,0,1,0,1
3070,100,18,285,78,3125,247,212,88,854,0,0,1,1,0,1
3090,293,14,42,3,3731,180,236,196,1127,0,0,1,0,0,1
3029,332,9,182,14,4900,199,229,169,2731,1,0,0,0,0,1
3361,353,12,601,133,2012,199,218,157,1158,0,0,1,1,0,1
2896,69,14,90,-18,630,234,212,107,1441,0,0,1,1,0,1
3240,29,10,272,61,4250,217,219,137,2964,1,0,0,1,0,1
3059,116,19,127,17,3037,249,219,91,2711,1,0,0,1,0,1
3089,168,9,268,3,3598,228,244,148,934,1,0,0,1,0,1
2607,317,12,0,0,1358,189,230,181,878,0,0,1,1,0,1
3123,90,12,361,-25,6096,239,220,110,1262,1,0,0,1,0,1
3039,45,5,134,-3,1471,221,229,143,2881,1,0,0,0,0,1
